,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
162,lashio,0,MM,1580959896,32,22.93,97.75,68.30600000000003,0.24
163,marsa matruh,89,EG,1580959896,87,31.35,27.25,53.6,3.6
164,sonoita,64,MX,1580959896,35,31.85,-112.83,39.00200000000008,2.77
165,klyuchi,100,RU,1580959896,88,52.27,79.17,26.00600000000003,7.26
166,sorland,100,NO,1580959896,66,67.67,12.69,32.48600000000007,7.71
167,guatire,64,VE,1580959896,98,10.48,-66.54,77.0,4.1
168,nioro,0,GM,1580959897,10,13.35,-15.75,68.12600000000009,1.77
169,am timan,15,TD,1580959897,17,11.03,20.28,66.36200000000005,2.33
170,coquimbo,0,CL,1580959897,87,-29.95,-71.34,59.0,0.5
171,talnakh,75,RU,1580959897,85,69.49,88.4,12.2,12.0
172,padang,100,ID,1580959852,64,-0.95,100.35,80.74400000000007,0.98
173,zhangjiakou,100,CN,1580959897,79,40.81,114.88,11.048000000000023,2.27
174,sulangan,100,PH,1580959897,83,11.14,123.72,80.56400000000004,8.51
175,lompoc,1,US,1580959897,62,34.64,-120.46,51.998000000000026,2.1
176,ishigaki,20,JP,1580959898,56,24.34,124.16,71.6,9.3
177,tumut,32,AU,1580959898,30,-35.3,148.22,81.91400000000003,3.91
178,deputatskiy,59,RU,1580959898,97,69.3,139.9,-27.903999999999954,0.8
179,mount gambier,0,AU,1580959898,47,-37.83,140.77,75.2,3.6
180,port hedland,40,AU,1580959898,33,-20.32,118.57,102.2,10.3
181,bengkulu,89,ID,1580959898,61,-3.8,102.27,86.0,0.86
182,santarem,40,BR,1580959898,94,-2.44,-54.71,77.0,1.5
183,yatou,98,CN,1580959898,57,37.15,122.38,28.562000000000058,3.26
184,berlevag,94,NO,1580959898,56,70.86,29.09,28.65200000000008,7.24
185,djambala,66,CG,1580959899,90,-2.54,14.75,69.27800000000006,0.97
186,georgiyevka,100,KZ,1580959899,64,43.04,74.71,33.8,4.0
187,atuona,34,PF,1580959899,74,-9.8,-139.03,82.11200000000005,9.42
188,xining,97,CN,1580959899,25,36.62,101.77,23.27000000000006,2.24
189,yumen,63,CN,1580959899,38,40.28,97.2,27.841999999999995,1.6
190,yulara,0,AU,1580959899,15,-25.24,130.99,95.0,3.1
191,taoru,20,IN,1580959899,93,28.22,76.95,48.2,2.1
192,bela,0,IN,1580959899,59,25.93,81.98,56.408,1.83
193,pisco,40,PE,1580959899,88,-13.7,-76.22,69.99800000000002,5.1
194,le vauclin,20,MQ,1580959900,78,14.55,-60.84,78.8,6.7
195,cooma,97,AU,1580959900,43,-36.23,149.13,71.6,5.7
196,conway,90,US,1580959900,100,35.09,-92.44,41.0,4.6
197,vredendal,0,ZA,1580959900,72,-31.67,18.5,62.852000000000075,4.71
198,cherskiy,11,RU,1580959900,94,68.75,161.3,-36.05799999999995,1.77
199,sinnamary,100,GF,1580959900,77,5.38,-52.95,79.30400000000006,8.3
200,nome,1,US,1580959900,53,64.5,-165.41,-5.799999999999947,4.1
201,prince rupert,90,CA,1580959900,93,54.32,-130.32,41.0,2.6
202,kavieng,100,PG,1580959901,79,-2.57,150.8,84.14600000000004,5.92
203,katsuura,40,JP,1580959901,28,35.13,140.3,44.99600000000005,10.8
204,geraldton,4,AU,1580959901,61,-28.77,114.6,80.6,5.1
205,klaksvik,96,FO,1580959901,100,62.23,-6.59,44.6,3.1
206,chuy,0,UY,1580959901,82,-33.7,-53.46,73.92200000000004,6.46
207,cidreira,8,BR,1580959901,87,-30.18,-50.21,76.53200000000001,9.48
208,miguel auza,0,MX,1580959901,36,24.29,-103.45,48.84800000000003,13.86
209,niquelandia,100,BR,1580959901,91,-14.47,-48.46,69.99800000000002,0.25
210,luocheng,4,CN,1580959901,57,29.38,104.03,55.97600000000009,1.19
211,piacabucu,99,BR,1580959902,85,-10.41,-36.43,78.458,2.87
212,lorengau,100,PG,1580959902,76,-2.02,147.27,83.93000000000004,4.47
213,baruun-urt,48,MN,1580959902,81,46.68,113.28,-1.9659999999999584,3.6
214,hithadhoo,100,MV,1580959902,79,-0.6,73.08,83.22800000000007,6.32
215,bitung,40,ID,1580959902,62,1.45,125.18,89.6,3.1
216,quatre cocos,40,MU,1580959902,78,-20.21,57.76,80.6,6.2
217,mtwara,20,TZ,1580959902,94,-10.27,40.18,73.4,2.6
218,saint-augustin,0,CA,1580959902,79,51.23,-58.65,3.1460000000000505,8.69
219,mareeba,100,AU,1580959902,70,-17.0,145.43,93.00200000000008,4.6
220,kabwe,100,ZM,1580959903,98,-14.45,28.45,62.69000000000002,1.69
221,jizan,20,SA,1580959903,78,17.33,42.67,77.0,1.5
222,port blair,72,IN,1580959903,68,11.67,92.75,78.72800000000007,4.7
223,isla mujeres,20,MX,1580959903,83,21.23,-86.73,78.8,5.1
224,airai,14,TL,1580959903,56,-8.93,125.41,82.81400000000004,2.1
225,lovozero,99,RU,1580959903,88,68.0,35.01,6.638000000000044,6.55
226,zhumadian,100,CN,1580959903,95,32.98,114.03,36.662000000000056,5.02
227,ponta do sol,20,PT,1580959904,77,32.67,-17.1,62.99600000000005,1.0
228,shingu,20,JP,1580959904,36,33.73,135.98,44.6,8.7
229,coihaique,0,CL,1580959904,81,-45.58,-72.07,46.4,0.78
230,wynyard,38,AU,1580959904,61,-41.0,145.72,71.99600000000005,4.47
231,shache,100,CN,1580959904,95,38.42,77.24,37.004000000000055,2.77
232,saldanha,100,ZA,1580959904,72,-33.01,17.94,62.6,5.7
233,jalu,0,LY,1580959904,69,29.03,21.55,53.38399999999999,4.17
234,chifeng,0,CN,1580959904,52,42.27,118.96,12.74000000000002,4.35
235,te anau,23,NZ,1580959904,60,-45.42,167.72,53.61800000000009,4.57
236,narsaq,100,GL,1580959905,47,60.92,-46.05,35.6,5.1
237,roald,75,NO,1580959905,100,62.58,6.13,44.99600000000005,10.3
238,springbok,18,ZA,1580959905,78,-29.66,17.89,57.83000000000004,2.04
239,kuusamo,29,FI,1580959905,84,65.97,29.18,1.3999999999999986,2.1
240,marawi,77,PH,1580959905,86,8.0,124.29,78.99800000000002,0.45
241,necochea,96,AR,1580959905,97,-38.55,-58.74,69.00800000000001,1.34
242,north platte,1,US,1580959906,67,41.12,-100.77,19.004000000000055,3.23
243,naze,40,JP,1580959906,51,28.37,129.48,60.8,6.2
244,kompaniyivka,100,UA,1580959906,60,48.25,32.21,28.814000000000032,11.74
245,mufumbwe,100,ZM,1580959906,91,-13.68,24.8,63.64400000000008,1.2
246,kasungu,87,MW,1580959906,97,-13.03,33.48,62.81600000000001,1.01
247,kahului,40,US,1580959681,54,20.89,-156.47,80.6,3.6
248,gat,0,IL,1580959845,76,31.61,34.76,55.99400000000007,0.5
249,sao felix do xingu,100,BR,1580959907,97,-6.64,-51.99,70.95200000000008,0.62
250,rabo de peixe,20,PT,1580959907,81,37.8,-25.58,53.6,3.6
251,lastoursville,84,GA,1580959907,91,-0.81,12.73,72.78800000000004,0.89
252,yellowknife,90,CA,1580959890,76,62.46,-114.35,-7.599999999999952,5.1
253,tailai,97,CN,1580959907,71,46.38,123.4,0.4280000000000648,6.39
254,camp verde,1,US,1580959907,39,34.56,-111.85,35.00600000000003,0.95
255,hinton,80,CA,1580959907,83,53.4,-117.59,21.416000000000007,4.4
256,hualmay,86,PE,1580959907,79,-11.1,-77.61,70.50200000000008,2.15
257,san cristobal,40,VE,1580959908,73,7.77,-72.22,77.0,1.0
258,betong,91,TH,1580959908,54,5.77,101.07,81.01400000000004,1.53
259,terrace,75,CA,1580959785,86,54.52,-128.6,39.2,6.7
260,aswan,0,EG,1580959795,45,24.09,32.91,57.2,8.2
261,uvat,95,RU,1580959908,94,59.14,68.9,23.45,3.91
262,ilulissat,42,GL,1580959908,41,69.22,-51.1,24.8,7.2
263,eyl,22,SO,1580959908,75,7.98,49.82,75.00200000000008,8.44
264,saint-louis,0,SN,1580959908,8,16.33,-15.0,69.60200000000007,4.23
265,marzuq,46,YE,1580959908,59,14.4,46.47,61.50200000000008,1.77
266,maumere,69,ID,1580959909,66,-8.62,122.21,84.308,4.14
267,ambanja,40,MG,1580959909,87,-13.68,48.45,73.4,1.0
